Column1,ID,Degree,betweenness_centrality,clust_coefficient,closeness_centrality,eigenvector_centrality
12,ZFHX3,2,0.00015521,0,0.188166553,0.001576684
281,HNF1B,3,0.004823701,0,0.198714962,0.00155689
75,SP8,2,0.004383096,0,0.192925026,0.001545476
200,NEUROG2,2,0.004383096,0,0.192925026,0.001545476
379,CREB3L1,1,0,0,0.195395669,0.001531228
224,MESP1,1,0,0,0.195504525,0.001448852
191,NFIL3,1,0,0,0.195504525,0.001448852
135,POU4F2,1,0,0,0.193670321,0.001447583
314,FOXQ1,1,0,0,0.193563498,0.001397545
290,HEY2,1,0,0,0.189897523,0.001388694
260,IRF6,1,0,0,0.191138683,0.001362668
148,PCGF2,1,0,0,0.191138683,0.001362668
32,THYN1,1,0,0,0.181735175,0.001324957
195,NFE2,1,0,0,0.190516081,0.001312393
328,FOXE1,1,0,0,0.187162998,0.001270083
164,OLIG2,2,0.000319425,0,0.188469722,0.001225059
233,MAFA,1,0,0,0.188570995,0.001176804
161,ONECUT3,1,0,0,0.190930698,0.001161994
336,FOSL1,1,0,0,0.182396373,0.001049204
400,ATOH1,4,0.009273767,0,0.196930764,0.001042597
42,TEAD4,1,0,0,0.185187663,0.001001206
122,RARG,1,0,0,0.174766246,0.000917993
140,PLSCR1,1,0,0,0.175816945,0.000762273
415,ALX1,1,0,0,0.177686391,0.000752749
31,TLX1,1,0,0,0.174418798,0.00070532
367,DMRT1,2,0.008743245,0,0.178227843,0.00065725
300,GLI3,2,8.87E-05,0,0.175816945,0.000609327
144,PITX1,2,0.008743245,0,0.180985365,0.000603351
342,ETV4,2,0.013080445,0,0.174332152,0.000492764
126,PROX1,2,0.004383096,0,0.171436552,0.000441764
7,ZNF24,2,0.008743245,0,0.171018822,0.00037721
86,SOX14,1,0,0,0.172532263,0.000321076
73,SPEN,1,0,0,0.165611431,0.000296028
50,TBX6,1,0,0,0.169123191,0.000286337
249,KLF1,1,0,0,0.167829088,0.000273105
372,DDIT3,4,0.013114867,0,0.163833157,0.000244766
238,LHX9,1,0,0,0.156038516,0.000165662
125,PTF1A,1,0,0,0.163375522,0.000140837
83,SOX21,1,0,0,0.159441446,0.000139804
297,GSX2,1,0,0,0.159441446,0.000139804
134,POU4F3,1,0,0,0.16216757,9.43E-05
412,ARID2,1,0,0,0.16216757,9.43E-05
89,SOHLH1,2,0.004383096,0,0.149395752,5.99E-05
51,TBX4,2,0.004383096,0,0.151328427,5.50E-05
269,HOXC6,2,0.008743245,0,0.146771486,4.49E-05
85,SOX18,1,0,0,0.144475349,4.00E-05
208,MYRF,2,0.004383096,0,0.144297131,3.44E-05
187,NFYB,1,0,0,0.139037489,2.21E-05
186,NFYC,1,0,0,0.139037489,2.21E-05
188,NFYA,1,0,0,0.139037489,2.21E-05
239,LHX8,1,0,0,0.128498946,5.42E-06
102,SHOX2,1,0,0,0.129926184,4.98E-06
2,ZNF503,2,0.004383096,0,0.126644035,4.10E-06
390,CDC5L,1,0,0,0.124708821,3.11E-06
240,LHX3,1,0,0,0.111300546,3.71E-07
385,CENPA,3,0,1,0.007177033,2.00E-17
0,ZSCAN4,2,1.15E-05,0,0.004784689,1.09E-17
307,GATAD2A,1,0,0,0.005468216,8.37E-18
418,AHCTF1,3,0,1,0.007177033,6.28E-18
377,CREM,1,0,0,0.002392344,6.21E-18
339,FEZF2,1,0,0,0.002392344,4.85E-18
384,CENPS,3,0,1,0.007177033,4.34E-18
